name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
chicago,2023-04-21T00:00:00,54.1,54.1,44,68.64,0,17,rain,0,0,19.5,16.1,260,1012,88,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
chicago,2023-04-21T01:00:00,51,51,42,71.19,0.22,13,rain,0,0,17.2,13.9,260,1014,91,10.1,0,,0,10,Overcast,cloudy,
chicago,2023-04-21T02:00:00,49.9,45.5,40.9,71.08,0,9,rain,0,0,12.8,11.4,260,1015,84,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
chicago,2023-04-21T03:00:00,49,45.1,40,70.98,0,5,,0,0,10.3,9.2,250,1015,80,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
chicago,2023-04-21T04:00:00,47.9,44.2,40,73.91,0,3,,0,0,8.1,8.1,240,1014,77,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
chicago,2023-04-21T05:00:00,47,43.6,40,76.45,0,2,,0,0,6.9,6.9,240,1015,77,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
chicago,2023-04-21T06:00:00,47,44.2,40,76.45,0,1,,0,0,5.8,5.8,220,1015,71,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
chicago,2023-04-21T07:00:00,47,44.2,40,76.45,0.031,8,rain,0,0,5.8,5.8,220,1015,73,10.1,60,0.2,1,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T08:00:00,47.9,44.7,40,73.91,0,8,,0,0,9.2,6.9,220,1015,70,10.1,200,0.7,2,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T09:00:00,49,45.5,38.9,68.06,0,8,,0,0,12.8,8.1,210,1014,66,10.1,331,1.2,3,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T10:00:00,51,51,38.9,63.23,0,4,,0,0,16.1,9.2,210,1014,62,10.1,514,1.9,5,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T11:00:00,54.1,54.1,36.9,52.28,0,4,,0,0,16.1,9.2,210,1015,61,10.1,659,2.4,7,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T12:00:00,58,58,35,41.88,0,4,,0,0,16.1,10.3,210,1014,60,10.1,715,2.6,7,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T13:00:00,60,60,34.1,37.65,0,8,,0,0,18.3,11.4,210,1013,59,10.1,763,2.7,8,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T14:00:00,62,62,33,33.61,0,8,,0,0,23,13.9,210,1012,55,10.1,842,3,8,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T15:00:00,63.9,63.9,33,31.35,0,8,,0,0,26.4,15,210,1012,51,10.1,753,2.7,8,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T16:00:00,63.9,63.9,33,31.35,0,8,,0,0,27.5,15,210,1011,47,10.1,591,2.1,6,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T17:00:00,62,62,34.1,35.1,0,8,,0,0,26.4,13.9,220,1010,57,10.1,353,1.3,4,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T18:00:00,58.9,58.9,35,40.56,0,8,,0,0,23,12.8,220,1009,66,10.1,256,0.9,3,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T19:00:00,54.9,54.9,36.9,50.59,0,28,,0,0,18.3,10.3,220,1010,76,10.1,152,0.5,2,10,Partially cloudy,partly-cloudy-day,
chicago,2023-04-21T20:00:00,54.1,54.1,36.9,52.28,0,28,,0,0,17.2,10.3,240,1011,76,10.1,3,0,0,10,Partially cloudy,partly-cloudy-night,
