name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
syracuse,2023-04-21T00:00:00,51,51,40.9,68.29,0,2,,0,0,5.8,4.7,100,1017,31,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T01:00:00,49.9,48.3,42,74.1,0,2,,0,0,5.8,4.7,100,1016,36,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T02:00:00,49.9,48.3,42,74.1,0,2,,0,0,6.9,4.7,110,1016,45,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T03:00:00,49.9,48.3,44,79.95,0,2,,0,0,5.8,4.7,120,1016,55,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T04:00:00,49.9,49.3,44,79.95,0,2,,0,0,5.8,3.4,110,1015,45,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T05:00:00,51,51,45.9,82.81,0,2,,0,0,5.8,3.4,130,1015,48,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T06:00:00,51,51,45.9,82.81,0,2,,0,0,5.8,4.7,120,1015,21,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T07:00:00,52.1,52.1,45.9,79.58,0,3,,0,0,6.9,4.7,120,1015,17,10.1,57,0.2,1,10,Clear,clear-day,
syracuse,2023-04-21T08:00:00,58,58,49,71.93,0,3,,0,0,8.1,5.8,150,1014,33,10.1,174,0.6,2,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-21T09:00:00,63.9,63.9,51,62.73,0,3,,0,0,10.3,5.8,170,1014,25,10.1,416,1.5,4,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-21T10:00:00,70.1,70.1,52.1,52.84,0,2,,0,0,10.3,5.8,200,1013,16,10.1,555,2,6,10,Clear,clear-day,
syracuse,2023-04-21T11:00:00,74.9,74.9,52.1,44.85,0,3,,0,0,11.4,8.1,210,1013,10,10.1,688,2.5,7,10,Clear,clear-day,
syracuse,2023-04-21T12:00:00,78,78,52.1,40.52,0,7,,0,0,12.8,8.1,210,1013,12,10.1,776,2.8,8,10,Clear,clear-day,
syracuse,2023-04-21T13:00:00,80,80,51,36.48,0,12,,0,0,13.9,10.3,210,1012,10,10.1,816,2.9,8,10,Clear,clear-day,
syracuse,2023-04-21T14:00:00,81.9,80.7,49.9,32.86,0,15,,0,0,16.1,10.3,200,1010,42,10.1,804,2.9,8,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-21T15:00:00,83,81.4,49.9,31.73,0,17,,0,0,17.2,11.4,210,1009,42,10.1,756,2.7,8,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-21T16:00:00,83,81.3,49,30.68,0,17,,0,0,17.2,11.4,210,1009,42,10.1,670,2.4,7,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-21T17:00:00,83.9,81.8,47.9,28.62,0,16,,0,0,16.1,10.3,220,1009,42,10.1,459,1.7,5,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-21T18:00:00,80,80,49.9,35.05,0,21,,0,0,12.8,9.2,240,1009,50,10.1,336,1.2,3,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-21T19:00:00,78,78,49.9,37.4,0,30,rain,0,0,13.9,9.2,270,1010,69,10.1,183,0.7,2,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-21T20:00:00,72.9,72.9,51,46.05,0.012,34,rain,0,0,13.9,9.2,240,1012,73,10.1,107,0.4,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T21:00:00,67,67,51,56.4,0.059,34,rain,0,0,11.4,8.1,250,1014,66,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T22:00:00,63.1,63.1,52.1,67.37,0.071,34,rain,0,0,10.3,6.9,220,1014,82,9,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-21T23:00:00,61.1,61.1,53,74.68,0,34,rain,0,0,5.8,4.7,190,1014,71,6.9,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-22T00:00:00,60,60,53,77.6,0,34,rain,0,0,8.1,5.8,170,1014,68,8,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-22T01:00:00,58.9,58.9,53,80.64,0,34,rain,0,0,9.2,6.9,160,1012,75,9.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-22T02:00:00,58,58,53,83.29,0.039,21,rain,0,0,10.3,6.9,140,1011,81,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-22T03:00:00,57.4,57.4,52.7,84.35,0,21,rain,0,0,13,8.4,143.3,1010,82,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-22T04:00:00,56.7,56.7,52.4,85.43,0,21,rain,0,0,15.7,9.9,146.7,1010,83,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-22T05:00:00,56,56,52.1,86.54,0.012,21,rain,0,0,18.3,11.4,150,1009,84,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-22T06:00:00,56.7,56.7,52.1,84.5,0,17,rain,0,0,21,13.3,150,1008,83,10.1,49.7,0.2,0,10,Partially cloudy,partly-cloudy-night,
syracuse,2023-04-22T07:00:00,57.4,57.4,52.1,82.51,0,17,,0,0,23.7,15.3,150,1008,82,10.1,99.3,0.4,1,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-22T08:00:00,58,58,52.1,80.58,0,17,,0,0,26.4,17.2,150,1009,81,10.1,149,0.5,1,10,Partially cloudy,partly-cloudy-day,
syracuse,2023-04-22T09:00:00,61.7,61.7,52.1,70.73,0,17,,0,0,26.4,17.6,150,1008,84,10.1,228,0.9,2,10,Partially cloudy,partly-cloudy-day,
