Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
B6,1/1/2023,116,N355JB,JFK,14:48,15:11,73,63,23,15:08,3,10,0,0,0,13
B6,1/1/2023,656,N583JB,MCO,18:28,19:05,163,192,37,18:50,15,3,0,29,0,5
B6,1/1/2023,2516,N216JB,JFK,23:41,23:25,71,61,-16,23:20,5,0,0,0,0,0
B6,1/2/2023,116,N964JT,JFK,14:48,16:52,73,75,124,16:40,12,112,0,2,0,10
B6,1/2/2023,656,N639JB,MCO,18:28,19:36,163,173,68,19:22,14,11,0,10,0,47
B6,1/2/2023,2516,N337JB,JFK,23:41,2:23,71,73,162,2:15,8,114,0,2,0,46
B6,1/3/2023,116,N348JB,JFK,14:33,20:43,73,65,370,20:37,6,31,0,0,0,339
B6,1/3/2023,656,N997JL,MCO,19:04,21:49,164,155,165,21:45,4,165,0,0,0,0
B6,1/3/2023,2516,N354JB,JFK,23:07,22:55,72,62,-12,22:51,4,0,0,0,0,0
B6,1/4/2023,116,N283JB,JFK,14:33,15:17,73,63,44,15:14,3,33,0,0,0,11
B6,1/4/2023,656,N636JB,MCO,19:01,19:20,161,150,19,19:17,3,7,0,0,0,12
B6,1/4/2023,2516,N318JB,JFK,23:07,23:06,72,70,-1,23:01,5,0,0,0,0,0
B6,1/5/2023,116,N354JB,JFK,14:33,14:14,73,62,-19,14:11,3,0,0,0,0,0
B6,1/5/2023,656,N712JB,MCO,18:59,19:06,161,138,7,19:03,3,0,0,0,0,0
B6,1/5/2023,2516,N307JB,JFK,23:07,1:07,72,60,120,1:03,4,120,0,0,0,0
B6,1/6/2023,116,N229JB,JFK,14:29,15:05,73,67,36,15:02,3,31,0,0,0,5
B6,1/6/2023,656,N621JB,MCO,18:59,1:22,161,171,383,1:11,11,373,0,10,0,0
B6,1/6/2023,2516,N265JB,JFK,23:07,23:50,72,70,43,23:45,5,43,0,0,0,0
B6,1/7/2023,116,N358JB,JFK,14:29,14:20,73,70,-9,14:18,2,0,0,0,0,0
B6,1/7/2023,656,N318JB,MCO,20:25,20:38,160,174,13,20:33,5,0,0,0,0,0
B6,1/7/2023,2516,N198JB,JFK,23:07,23:12,72,67,5,23:09,3,0,0,0,0,0
B6,1/8/2023,116,N179JB,JFK,14:29,14:20,73,67,-9,14:16,4,0,0,0,0,0
B6,1/8/2023,656,N562JB,MCO,18:59,19:08,161,152,9,19:04,4,0,0,0,0,0
B6,1/8/2023,2516,N329JB,JFK,23:07,23:10,72,71,3,23:06,4,0,0,0,0,0
B6,1/9/2023,116,N318JB,JFK,14:29,14:33,73,66,4,14:28,5,0,0,0,0,0
B6,1/9/2023,656,N646JB,MCO,18:59,18:50,161,160,-9,18:45,5,0,0,0,0,0
B6,1/9/2023,2516,N190JB,JFK,23:07,22:56,72,65,-11,22:52,4,0,0,0,0,0
B6,1/10/2023,116,N229JB,JFK,14:29,14:24,73,68,-5,14:21,3,0,0,0,0,0
B6,1/10/2023,656,N712JB,MCO,18:59,18:46,161,161,-13,18:43,3,0,0,0,0,0
B6,1/10/2023,2516,N192JB,JFK,23:07,23:00,72,77,-7,22:58,2,0,0,0,0,0
B6,1/11/2023,116,N283JB,JFK,14:29,14:30,73,80,1,14:26,4,0,0,0,0,0
B6,1/11/2023,656,N580JB,MCO,18:59,18:42,161,150,-17,18:39,3,0,0,0,0,0
B6,1/11/2023,2516,N337JB,JFK,23:07,22:59,72,68,-8,22:55,4,0,0,0,0,0
B6,1/12/2023,116,N337JB,JFK,14:29,14:19,73,65,-10,14:15,4,0,0,0,0,0
B6,1/12/2023,656,N586JB,MCO,18:59,20:07,161,167,68,20:00,7,12,0,6,0,50
B6,1/12/2023,2516,N334JB,JFK,23:07,0:31,72,101,84,0:25,6,4,0,29,0,51
B6,1/13/2023,116,N284JB,JFK,14:29,14:39,73,62,10,14:36,3,0,0,0,0,0
B6,1/13/2023,656,N562JB,MCO,18:59,18:55,161,151,-4,18:51,4,0,0,0,0,0
B6,1/13/2023,2516,N358JB,JFK,23:07,23:13,72,82,6,23:08,5,0,0,0,0,0
B6,1/14/2023,116,N307JB,JFK,14:29,14:23,73,67,-6,14:20,3,0,0,0,0,0
B6,1/14/2023,656,N206JB,MCO,20:25,22:07,160,183,102,22:02,5,60,0,23,0,19
B6,1/14/2023,2516,N323JB,JFK,23:07,0:16,72,79,69,0:12,4,43,0,7,0,19
B6,1/15/2023,116,N337JB,JFK,14:29,14:31,73,66,2,14:28,3,0,0,0,0,0
B6,1/15/2023,656,N566JB,MCO,18:59,19:03,161,165,4,19:00,3,0,0,0,0,0
B6,1/15/2023,2516,N249JB,JFK,23:07,23:01,72,62,-6,22:58,3,0,0,0,0,0
B6,1/16/2023,116,N249JB,JFK,14:29,15:03,73,77,34,14:57,6,30,0,4,0,0
B6,1/16/2023,656,N809JB,MCO,18:59,19:12,161,177,13,19:09,3,0,0,0,0,0
B6,1/16/2023,2516,N228JB,JFK,23:07,23:28,72,96,21,23:24,4,0,0,21,0,0
B6,1/17/2023,116,N339JB,JFK,14:29,14:14,73,68,-15,14:09,5,0,0,0,0,0
B6,1/17/2023,2516,N266JB,JFK,23:07,22:53,72,64,-14,22:49,4,0,0,0,0,0
B6,1/18/2023,116,N229JB,JFK,14:29,14:16,73,68,-13,14:12,4,0,0,0,0,0
B6,1/18/2023,2516,N304JB,JFK,23:07,22:56,72,67,-11,22:53,3,0,0,0,0,0
B6,1/19/2023,116,N184JB,JFK,14:29,14:30,73,84,1,14:25,5,0,0,0,0,0
B6,1/19/2023,656,N562JB,MCO,18:59,18:41,161,153,-18,18:37,4,0,0,0,0,0
B6,1/19/2023,2516,N247JB,JFK,23:07,0:21,72,129,74,0:17,4,17,0,57,0,0
B6,1/20/2023,116,N229JB,JFK,14:29,14:23,73,72,-6,14:19,4,0,0,0,0,0
B6,1/20/2023,656,N565JB,MCO,18:59,18:57,161,168,-2,18:51,6,0,0,0,0,0
B6,1/20/2023,2516,N283JB,JFK,23:07,23:07,72,74,0,23:02,5,0,0,0,0,0
B6,1/21/2023,116,N324JB,JFK,14:29,14:44,73,65,15,14:39,5,12,0,0,0,3
B6,1/21/2023,656,N643JB,MCO,18:59,19:42,161,159,43,19:39,3,43,0,0,0,0
B6,1/21/2023,2516,N267JB,JFK,23:07,22:49,72,70,-18,22:46,3,0,0,0,0,0
B6,1/22/2023,116,N190JB,JFK,14:29,14:20,73,64,-9,14:16,4,0,0,0,0,0
B6,1/22/2023,656,N630JB,MCO,18:59,18:53,161,148,-6,18:48,5,0,0,0,0,0
B6,1/22/2023,2516,N206JB,JFK,23:07,0:11,72,74,64,0:07,4,45,0,2,0,17
B6,1/23/2023,116,N304JB,JFK,14:29,14:16,73,66,-13,14:12,4,0,0,0,0,0
B6,1/23/2023,656,N632JB,MCO,18:59,20:26,161,174,87,20:19,7,13,0,13,0,61
B6,1/23/2023,2516,N339JB,JFK,23:07,23:11,72,77,4,23:08,3,0,0,0,0,0
B6,1/24/2023,116,N337JB,JFK,14:29,14:21,73,66,-8,14:17,4,0,0,0,0,0
B6,1/24/2023,2516,N192JB,JFK,23:07,23:21,72,91,14,23:17,4,0,0,0,0,0
B6,1/25/2023,116,N203JB,JFK,14:29,14:20,73,80,-9,14:16,4,0,0,0,0,0
B6,1/25/2023,2516,N206JB,JFK,23:07,1:24,72,61,137,1:18,6,0,0,0,0,137
