Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
9E,1/1/2023,4961,N315PQ,DTW,11:50,11:30,90,74,-20,11:25,5,0,0,0,0,0
9E,1/1/2023,4992,N606LR,LGA,16:34,16:17,79,67,-17,16:13,4,0,0,0,0,0
9E,1/1/2023,5190,N325PQ,JFK,22:41,22:13,91,68,-28,22:09,4,0,0,0,0,0
9E,1/1/2023,5243,N910XJ,DTW,23:00,22:41,90,71,-19,22:38,3,0,0,0,0,0
9E,1/2/2023,4845,N147PQ,DTW,16:46,16:30,90,77,-16,16:25,5,0,0,0,0,0
9E,1/2/2023,4961,N325PQ,DTW,11:50,11:35,90,78,-15,11:28,7,0,0,0,0,0
9E,1/2/2023,4992,N146PQ,LGA,16:34,16:15,79,59,-19,16:11,4,0,0,0,0,0
9E,1/2/2023,5190,N195PQ,JFK,22:41,22:46,91,77,5,22:42,4,0,0,0,0,0
9E,1/2/2023,5243,N903XJ,DTW,23:00,22:36,90,71,-24,22:31,5,0,0,0,0,0
9E,1/3/2023,4845,N305PQ,DTW,16:46,16:18,90,67,-28,16:15,3,0,0,0,0,0
9E,1/3/2023,4961,N294PQ,DTW,11:50,11:30,90,75,-20,11:25,5,0,0,0,0,0
9E,1/3/2023,4992,N311PQ,LGA,16:34,16:24,79,66,-10,16:20,4,0,0,0,0,0
9E,1/3/2023,5190,N303PQ,JFK,22:41,22:23,91,78,-18,22:19,4,0,0,0,0,0
9E,1/3/2023,5243,N131EV,DTW,23:00,22:36,90,72,-24,22:31,5,0,0,0,0,0
9E,1/4/2023,4845,N927XJ,DTW,16:46,16:24,90,71,-22,16:20,4,0,0,0,0,0
9E,1/4/2023,4961,N132EV,DTW,11:50,11:33,90,78,-17,11:29,4,0,0,0,0,0
9E,1/4/2023,4992,N605LR,LGA,16:34,16:27,79,73,-7,16:23,4,0,0,0,0,0
9E,1/4/2023,5190,N606LR,JFK,22:41,22:29,91,84,-12,22:25,4,0,0,0,0,0
9E,1/4/2023,5243,N937XJ,DTW,23:00,22:56,90,86,-4,22:53,3,0,0,0,0,0
9E,1/5/2023,4845,N329PQ,DTW,16:46,16:34,90,75,-12,16:31,3,0,0,0,0,0
9E,1/5/2023,4961,N232PQ,DTW,11:50,11:32,90,77,-18,11:27,5,0,0,0,0,0
9E,1/5/2023,4992,N300PQ,LGA,16:34,16:11,79,61,-23,16:08,3,0,0,0,0,0
9E,1/5/2023,5190,N183GJ,JFK,22:41,22:21,91,78,-20,22:17,4,0,0,0,0,0
9E,1/5/2023,5243,N933XJ,DTW,23:00,22:45,90,80,-15,22:40,5,0,0,0,0,0
9E,1/6/2023,4845,N228PQ,DTW,16:46,16:30,90,79,-16,16:26,4,0,0,0,0,0
9E,1/6/2023,4961,N166PQ,DTW,11:50,11:34,90,80,-16,11:30,4,0,0,0,0,0
9E,1/6/2023,4992,N135EV,LGA,16:34,16:08,79,59,-26,16:03,5,0,0,0,0,0
9E,1/6/2023,5190,N195PQ,JFK,22:41,22:21,91,76,-20,22:16,5,0,0,0,0,0
9E,1/6/2023,5243,N676CA,DTW,23:00,22:35,90,75,-25,22:31,4,0,0,0,0,0
9E,1/7/2023,4961,N315PQ,DTW,11:50,12:16,90,116,26,12:12,4,0,0,26,0,0
9E,1/7/2023,4992,N331PQ,LGA,16:34,16:15,79,65,-19,16:11,4,0,0,0,0,0
9E,1/7/2023,5190,N301PQ,JFK,22:41,22:19,91,72,-22,22:14,5,0,0,0,0,0
9E,1/7/2023,5243,N272PQ,DTW,23:00,23:06,90,100,6,23:00,6,0,0,0,0,0
9E,1/8/2023,4992,N600LR,LGA,16:09,15:48,79,62,-21,15:43,5,0,0,0,0,0
9E,1/8/2023,5090,N300PQ,JFK,23:58,23:25,88,63,-33,23:22,3,0,0,0,0,0
9E,1/8/2023,5114,N335PQ,JFK,17:48,17:39,88,64,-9,17:35,4,0,0,0,0,0
9E,1/8/2023,5202,N304PQ,JFK,11:14,10:53,84,64,-21,10:48,5,0,0,0,0,0
9E,1/8/2023,5414,N601LR,LGA,13:28,14:04,83,84,36,13:59,5,35,0,1,0,0
9E,1/8/2023,5516,N329PQ,DTW,11:50,11:43,90,87,-7,11:38,5,0,0,0,0,0
9E,1/9/2023,4707,N133EV,LGA,16:43,16:48,83,64,5,16:45,3,0,0,0,0,0
