Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,1/1/2023,604,N814UA,DEN,14:58,14:52,193,177,-6,14:48,4,0,0,0,0,0
UA,1/1/2023,2488,N38458,EWR,23:14,23:15,75,62,1,23:10,5,0,0,0,0,0
UA,1/1/2023,2645,N23721,ORD,23:57,23:47,107,100,-10,23:41,6,0,0,0,0,0
UA,1/2/2023,604,N890UA,DEN,15:01,17:36,193,217,155,17:31,5,40,0,24,0,91
UA,1/2/2023,1968,N23708,IAD,23:12,23:39,72,73,27,23:35,4,0,0,1,0,26
UA,1/2/2023,1998,N802UA,ORD,21:07,20:46,113,89,-21,20:43,3,0,0,0,0,0
UA,1/3/2023,604,N813UA,DEN,14:58,14:52,193,181,-6,14:46,6,0,0,0,0,0
UA,1/3/2023,1998,N854UA,ORD,21:07,21:04,113,111,-3,20:58,6,0,0,0,0,0
UA,1/4/2023,604,N407UA,DEN,14:59,14:47,193,187,-12,14:43,4,0,0,0,0,0
UA,1/4/2023,1998,N893UA,ORD,21:17,21:31,113,110,14,21:26,5,0,0,0,0,0
UA,1/5/2023,604,N821UA,DEN,14:59,14:59,193,193,0,14:54,5,0,0,0,0,0
UA,1/5/2023,1998,N853UA,ORD,21:17,21:17,113,112,0,21:11,6,0,0,0,0,0
UA,1/6/2023,604,N855UA,DEN,14:59,14:51,193,191,-8,14:46,5,0,0,0,0,0
UA,1/6/2023,1998,N850UA,ORD,21:17,21:23,113,119,6,21:18,5,0,0,0,0,0
UA,1/7/2023,604,N847UA,DEN,14:59,14:53,193,193,-6,14:50,3,0,0,0,0,0
UA,1/7/2023,1998,N892UA,ORD,21:17,21:56,113,105,39,21:50,6,0,0,0,0,39
UA,1/8/2023,604,N813UA,DEN,15:02,15:17,193,199,15,15:11,6,9,0,6,0,0
UA,1/8/2023,1998,N414UA,ORD,21:17,21:05,113,105,-12,21:00,5,0,0,0,0,0
UA,1/9/2023,604,N809UA,DEN,14:59,14:49,193,193,-10,14:45,4,0,0,0,0,0
UA,1/9/2023,1998,N802UA,ORD,21:17,21:01,113,104,-16,20:57,4,0,0,0,0,0
UA,1/9/2023,2617,N895UA,EWR,23:12,0:04,74,71,52,23:59,5,52,0,0,0,0
UA,1/10/2023,604,N408UA,DEN,14:59,15:37,193,190,38,15:33,4,38,0,0,0,0
UA,1/10/2023,1036,N78285,ORD,21:38,21:24,113,107,-14,21:17,7,0,0,0,0,0
UA,1/10/2023,1998,N463UA,ORD,21:17,21:05,113,108,-12,21:00,5,0,0,0,0,0
UA,1/10/2023,2617,N846UA,EWR,23:12,22:49,74,63,-23,22:43,6,0,0,0,0,0
UA,1/11/2023,604,N809UA,DEN,14:59,15:34,193,206,35,15:29,5,12,0,13,0,10
UA,1/11/2023,1998,N872UA,ORD,21:17,21:05,113,91,-12,21:02,3,0,0,0,0,0
UA,1/11/2023,2617,N836UA,EWR,23:12,23:08,74,63,-4,23:04,4,0,0,0,0,0
UA,1/12/2023,604,N826UA,DEN,14:59,14:45,193,185,-14,14:42,3,0,0,0,0,0
UA,1/12/2023,1998,N873UA,ORD,21:17,21:10,113,107,-7,21:06,4,0,0,0,0,0
UA,1/12/2023,2617,N836UA,EWR,23:12,1:38,74,85,146,1:33,5,0,0,88,0,58
UA,1/13/2023,604,N823UA,DEN,14:59,15:09,193,207,10,15:04,5,0,0,0,0,0
