Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
WN,1/1/2023,133,N8628A,BWI,23:00,22:59,70,65,-1,22:55,4,0,0,0,0,0
WN,1/1/2023,2186,N486WN,BWI,11:25,11:13,75,63,-12,11:10,3,0,0,0,0,0
WN,1/1/2023,2367,N294WN,BWI,15:45,15:48,70,67,3,15:45,3,0,0,0,0,0
WN,1/2/2023,133,N8676A,BWI,23:55,1:36,70,53,101,1:34,2,0,0,0,0,101
WN,1/2/2023,2367,N910WN,BWI,17:25,17:55,70,70,30,17:53,2,10,0,0,0,20
WN,1/2/2023,2821,N567WN,BWI,11:55,11:42,75,64,-13,11:40,2,0,0,0,0,0
WN,1/3/2023,133,N8619F,BWI,23:00,23:19,70,66,19,23:15,4,0,0,0,0,19
WN,1/3/2023,2186,N770SA,BWI,11:25,11:02,75,57,-23,10:59,3,0,0,0,0,0
WN,1/3/2023,2367,N278WN,BWI,15:45,15:35,70,63,-10,15:32,3,0,0,0,0,0
WN,1/4/2023,341,N8776L,BWI,12:20,12:20,75,68,0,12:17,3,0,0,0,0,0
WN,1/4/2023,2367,N477WN,BWI,16:10,16:03,70,65,-7,16:00,3,0,0,0,0,0
WN,1/4/2023,2689,N7814B,BWI,22:45,22:37,70,61,-8,22:34,3,0,0,0,0,0
WN,1/5/2023,1003,N8750Q,BWI,12:00,11:48,70,63,-12,11:45,3,0,0,0,0,0
WN,1/5/2023,1556,N964WN,BWI,22:55,23:05,70,72,10,23:02,3,0,0,0,0,0
WN,1/5/2023,2309,N7729A,BWI,16:15,16:00,70,60,-15,15:57,3,0,0,0,0,0
WN,1/6/2023,1003,N8824Q,BWI,12:00,11:51,70,69,-9,11:47,4,0,0,0,0,0
WN,1/6/2023,1556,N7826B,BWI,22:55,22:45,70,59,-10,22:42,3,0,0,0,0,0
WN,1/6/2023,2309,N7821L,BWI,16:15,16:09,70,65,-6,16:06,3,0,0,0,0,0
WN,1/7/2023,1003,N8553W,BWI,12:00,11:47,70,66,-13,11:44,3,0,0,0,0,0
WN,1/7/2023,2309,N8323C,BWI,15:10,15:17,70,62,7,15:14,3,0,0,0,0,0
WN,1/7/2023,2541,N7861J,BWI,22:00,22:01,70,66,1,21:58,3,0,0,0,0,0
WN,1/7/2023,2695,N8318F,MCO,13:45,13:46,160,161,1,13:43,3,0,0,0,0,0
WN,1/8/2023,1199,N556WN,BWI,16:55,16:59,70,62,4,16:56,3,0,0,0,0,0
WN,1/8/2023,1578,N419WN,BWI,12:40,12:50,70,61,10,12:47,3,0,0,0,0,0
WN,1/8/2023,2554,N451WN,BWI,23:05,22:40,70,52,-25,22:37,3,0,0,0,0,0
WN,1/9/2023,1003,N8634A,BWI,12:00,11:45,70,62,-15,11:43,2,0,0,0,0,0
WN,1/9/2023,1556,N935WN,BWI,22:55,22:44,70,63,-11,22:41,3,0,0,0,0,0
WN,1/9/2023,2309,N954WN,BWI,16:15,16:10,70,61,-5,16:08,2,0,0,0,0,0
WN,1/10/2023,1003,N8536Z,BWI,12:00,11:51,70,68,-9,11:47,4,0,0,0,0,0
WN,1/10/2023,1556,N934WN,BWI,22:55,22:42,70,61,-13,22:40,2,0,0,0,0,0
WN,1/10/2023,2309,N498WN,BWI,16:15,16:05,70,57,-10,16:03,2,0,0,0,0,0
WN,1/11/2023,1003,N8532S,BWI,12:00,0:00,70,0,0,0:00,0,0,0,0,0,0
WN,1/11/2023,1556,N969WN,BWI,22:55,23:01,70,63,6,22:58,3,0,0,0,0,0
