Date,CarrierCode,FlightNumber,Origin,Dest,clouds,temp,max_temp,min_temp,wind_dir,wind_spd,wind_gust_spd,snow,snow_depth,precip,pres,uv,dewpt,rh,slp,Arr_Delay_Status
6/1/2023,MQ,3402,ORD,SYR,26,24.3,32.8,15.6,178,1.6,7.6,0,0,0,1003,10.1,10.8,47,1018,Late
6/1/2023,B6,116,JFK,SYR,26,24.3,32.8,15.6,178,1.6,7.6,0,0,0,1003,10.1,10.8,47,1018,Early
6/1/2023,9E,5340,JFK,SYR,26,24.3,32.8,15.6,178,1.6,7.6,0,0,0,1003,10.1,10.8,47,1018,Early
6/1/2023,UA,538,ORD,SYR,26,24.3,32.8,15.6,178,1.6,7.6,0,0,0,1003,10.1,10.8,47,1018,Early
6/2/2023,MQ,3402,ORD,SYR,59,24.7,32.2,17.2,253,2.7,10.4,0,0,0,1000,8.6,13,50,1014,On Time
6/2/2023,B6,116,JFK,SYR,59,24.7,32.2,17.2,253,2.7,10.4,0,0,0,1000,8.6,13,50,1014,Early
6/2/2023,9E,5340,JFK,SYR,59,24.7,32.2,17.2,253,2.7,10.4,0,0,0,1000,8.6,13,50,1014,On Time
6/3/2023,MQ,3402,ORD,SYR,52,21.3,26.1,15.7,149,3.5,10.8,0,0,0,1001,9.9,10.5,54,1015,Early
6/3/2023,B6,116,JFK,SYR,52,21.3,26.1,15.7,149,3.5,10.8,0,0,0,1001,9.9,10.5,54,1015,Late
6/3/2023,9E,5340,JFK,SYR,52,21.3,26.1,15.7,149,3.5,10.8,0,0,0,1001,9.9,10.5,54,1015,Late
6/4/2023,MQ,3402,ORD,SYR,34,16,21.7,8.3,316,3.7,11.2,0,0,0,1003,10.1,2.6,43,1018,On Time
6/4/2023,B6,116,JFK,SYR,34,16,21.7,8.3,316,3.7,11.2,0,0,0,1003,10.1,2.6,43,1018,Late
6/4/2023,9E,5340,JFK,SYR,34,16,21.7,8.3,316,3.7,11.2,0,0,0,1003,10.1,2.6,43,1018,Early
6/5/2023,MQ,3402,ORD,SYR,80,16.6,22.8,10.6,266,3.1,12.4,0,0,0,999,5.6,5.1,50,1014,Early
6/5/2023,B6,116,JFK,SYR,80,16.6,22.8,10.6,266,3.1,12.4,0,0,0,999,5.6,5.1,50,1014,On Time
6/5/2023,UA,538,ORD,SYR,80,16.6,22.8,10.6,266,3.1,12.4,0,0,0,999,5.6,5.1,50,1014,Early
6/6/2023,MQ,3402,ORD,SYR,94,16.3,20,13.3,267,4,15.6,0,0,0,992,7.6,6.9,54,1007,Early
6/6/2023,UA,538,ORD,SYR,94,16.3,20,13.3,267,4,15.6,0,0,0,992,7.6,6.9,54,1007,Late
6/7/2023,MQ,3402,ORD,SYR,99,14.6,20,10.6,274,4,12.8,0,0,1,990,4.9,5.2,56,1005,On Time
6/7/2023,UA,538,ORD,SYR,99,14.6,20,10.6,274,4,12.8,0,0,1,990,4.9,5.2,56,1005,On Time
6/8/2023,MQ,3402,ORD,SYR,96,14.6,17.8,11.7,281,3.6,9.2,0,0,4,992,6,8.4,67,1006,On Time
6/8/2023,UA,538,ORD,SYR,96,14.6,17.8,11.7,281,3.6,9.2,0,0,4,992,6,8.4,67,1006,Late
6/9/2023,MQ,3402,ORD,SYR,88,14.7,18.3,11.1,207,2.2,9.3,0,0,2.8,992,5.5,9.4,71,1007,Early
6/10/2023,MQ,3402,ORD,SYR,75,16.7,25,10,196,2.2,11.2,0,0,0,993,7.6,9.3,65,1008,Early
6/11/2023,MQ,3402,ORD,SYR,84,20.4,28.3,12.2,72,2.5,6.4,0,0,0,994,3.9,11.1,57,1008,Early
6/12/2023,MQ,3402,ORD,SYR,99,21.6,26.7,15.6,119,4.4,11.6,0,0,32.5,989,3.2,14.9,67,1003,Late
6/12/2023,UA,538,ORD,SYR,99,21.6,26.7,15.6,119,4.4,11.6,0,0,32.5,989,3.2,14.9,67,1003,Early
6/13/2023,MQ,3402,ORD,SYR,89,18.1,22.8,14,226,3.4,10.4,0,0,1.5,990,4.4,10.2,63,1004,Early
6/13/2023,UA,538,ORD,SYR,89,18.1,22.8,14,226,3.4,10.4,0,0,1.5,990,4.4,10.2,63,1004,Late
6/14/2023,MQ,3402,ORD,SYR,98,15.2,17.8,13.3,142,3.5,10.3,0,0,21,984,3.2,12.5,84,999,Early
6/14/2023,UA,538,ORD,SYR,98,15.2,17.8,13.3,142,3.5,10.3,0,0,21,984,3.2,12.5,84,999,Late
6/15/2023,MQ,3402,ORD,SYR,87,18.3,24.4,13.9,286,4.3,10.3,0,0,0.3,989,8.6,11.7,69,1003,On Time
6/15/2023,UA,538,ORD,SYR,87,18.3,24.4,13.9,286,4.3,10.3,0,0,0.3,989,8.6,11.7,69,1003,Early
6/16/2023,MQ,3402,ORD,SYR,96,16.3,17.8,14.4,245,1.7,6.4,0,0,22.8,992,3.2,13.7,85,1006,Late
6/17/2023,MQ,3402,ORD,SYR,92,17.4,22.8,13.3,286,4,12.4,0,0,0.3,993,8.2,12.1,74,1007,Early
6/18/2023,MQ,3402,ORD,SYR,76,19.6,24.4,15,232,3.2,8,0,0,0,997,4.3,12.4,64,1011,Early
6/19/2023,MQ,3402,ORD,SYR,36,20.2,27.2,11.7,67,2.5,5.6,0,0,0,1001,9.2,12.3,64,1016,Early
6/19/2023,UA,538,ORD,SYR,36,20.2,27.2,11.7,67,2.5,5.6,0,0,0,1001,9.2,12.3,64,1016,Early
6/20/2023,MQ,3402,ORD,SYR,68,22.3,28.9,15.6,75,2.8,6.4,0,0,0,1005,6.2,13.3,59,1020,On Time
6/20/2023,UA,538,ORD,SYR,68,22.3,28.9,15.6,75,2.8,6.4,0,0,0,1005,6.2,13.3,59,1020,Late
6/21/2023,MQ,3402,ORD,SYR,49,21.8,28.3,15,85,3,8.7,0,0,0,1007,7.6,12.8,59,1022,Early
6/21/2023,UA,538,ORD,SYR,49,21.8,28.3,15,85,3,8.7,0,0,0,1007,7.6,12.8,59,1022,Late
6/22/2023,MQ,3402,ORD,SYR,56,21.2,26.7,13.9,79,3.3,8.2,0,0,0,1005,7.7,12.2,59,1020,On Time
6/22/2023,UA,538,ORD,SYR,56,21.2,26.7,13.9,79,3.3,8.2,0,0,0,1005,7.7,12.2,59,1020,Late
6/23/2023,MQ,3402,ORD,SYR,90,23.2,27.2,20,109,2.4,6.8,0,0,3.8,999,4.4,17.1,69,1014,On Time
6/24/2023,MQ,3402,ORD,SYR,89,22.4,26.1,19.4,219,2.2,7.2,0,0,23.5,995,3.2,19.4,84,1009,Early
6/25/2023,MQ,3402,ORD,SYR,72,23.2,30,18,154,1.7,6,0,0,5.5,994,6.2,18.9,78,1008,On Time
6/26/2023,MQ,3402,ORD,SYR,81,23.2,28.9,18.9,141,3.8,12.8,0,0,18,989,4.9,18.6,77,1003,Late
6/27/2023,MQ,3402,ORD,SYR,76,21.5,26.7,17.2,143,2.9,9.2,0,0,32.3,988,5.1,17.3,79,1002,Late
6/28/2023,MQ,3402,ORD,SYR,99,17.3,20,15.6,259,3.9,10,0,0,2.8,995,3.2,15.7,91,1010,On Time
