Date,Carrier,Flight_Num,Origin,Dest,Scheduled Arrival Time,Scheduled departure time
4/10/2024,UA,538,ORD,SYR,21:47,18:52:00
4/10/2024,MQ,3402,ORD,SYR,22:52,19:59
4/10/2024,B6,116,JFK,SYR,14:50,13:33
4/10/2024,9E,5340,JFK,SYR,16:21,14:55
4/10/2024,WN,491,MCO,SYR,13:45,11:05
4/10/2024,B6,656,MCO,SYR,16:25,13:35
4/11/2024,UA,538,ORD,SYR,21:47,18:52:00
4/11/2024,MQ,3402,ORD,SYR,22:52,19:59
4/11/2024,B6,116,JFK,SYR,14:50,13:33
4/11/2024,9E,5340,JFK,SYR,16:21,14:55
4/11/2024,WN,491,MCO,SYR,14:20,11:35
4/11/2024,B6,656,MCO,SYR,16:25,13:35
4/12/2024,UA,538,ORD,SYR,21:47,18:52:00
4/12/2024,MQ,3402,ORD,SYR,22:52,19:59
4/12/2024,B6,116,JFK,SYR,14:50,13:33
4/12/2024,9E,5340,JFK,SYR,16:21,14:55
4/12/2024,WN,491,MCO,SYR,14:20,11:35
4/12/2024,B6,656,MCO,SYR,16:25,13:35
4/13/2024,UA,538,ORD,SYR,21:47,18:52:00
4/13/2024,MQ,3402,ORD,SYR,22:52,19:59
4/13/2024,B6,116,JFK,SYR,14:30,13:12
4/13/2024,9E,5340,JFK,SYR,16:21,14:55
4/13/2024,B6,656,MCO,SYR,16:25,13:35
